Date,Time,Location / Event,Notes
7/12/2026,,Omaha,
,9:00 AM,Drive to Omaha,~6.5 hrs
,6:00 PM,Dinner (TBD),https://oldmarket.com/
,10:00 PM,Sleep (Omaha),
7/13/2026,,Omaha,
,10:00 AM,Henry Doorly Zoo,https://www.omahazoo.com/
,1:00 PM,Lunch (TBD),
,3:00 PM,Gene Leahy Mall,https://ohmyomaha.com/gene-leahy-mall/
,6:00 PM,Dinner (TBD),https://oldmarket.com/
,10:00 PM,Sleep (Omaha),
7/14/2026,,Badlands,
,9:00 AM,Drive to Cedar Pass Lodge,~7 hrs
,1:00 PM,Lunch,
,5:00 PM,Check into Cedar Pass Lodge,
,6:00 PM,Dinner (Cedar Pass Lodge?),
,8:00 PM,Stargazing,
,10:00 PM,Sleep (Badlands),
7/15/2026,,Badlands,
,8:00 AM,Hike Notch Trail,
,10:00 AM,Hike Door and Window Trails,
,12:00 PM,Lunch,
,2:00 PM,Visitor Center + Prarie Dog Towns,
,3:00 PM,Drive Badlands Loop Road,
,8:00 PM,Stargazing,
,10:00 PM,Sleep (Badlands),
7/16/2026,,Custer / Black Hills,
,6:30 AM,Sunrise over Badlands,
,9:00 AM,Drive to Custer,~2.5 hrs
,12:00 PM,Mount Rushmore,
,1:00 PM,Lunch,
,2:00 PM,Crazy Horse (optional),https://crazyhorsememorial.org/
,3:00 PM,Check into Airbnb (Custer),
,5:30 PM,Dinner (Hayride & Chuckwagon),https://www.custerresorts.com/activities/activities-experiences/hayride-chuck-wagon-cookout
,10:00 PM,Sleep (Custer),
7/17/2026,,Custer / Sioux Falls,
,,Drive to Sioux Falls,~6 hrs
,,Wall Drug,
,1hr,Corn Palace,"8am-9pm - Free
https://cornpalace.com/27/About-Us"
,,Check into Airbnb (Sioux Falls),
,,Dinner,
,,Falls Park,https://www.siouxfalls.gov/activities-recreation/parks-trails/directory/parks/falls
,10:00 PM,Sleep (Sioux Falls),
7/18/2026,,Sioux Falls / Des Moines,
,9:00 AM,Drive to Des Moines,~4.5 hrs
,2:00 PM,Des Moines Capital Tour (closes 3:45pm),https://www.legis.iowa.gov/resources/tourcapitol
,5:00 PM,Check into Airbnb (Des Moines),
,6:00 PM,Dinner,
,10:00 PM,Sleep (Des Moines),
7/19/2026,,Des Moines / HOME,
,12:00 PM,Drive to St. Louis,~6hrs
,3:00 PM,Truman State University,
,7:00 PM,Arrive home,
